1: Cell Index,2: Num Nuclei,1: Cell Length,2: Nuc Area,1: Cell Area,2/2: Mean Nuc Int,1: Cell Width,2: Whole Cell Int,2: Background Int,2/2: BkgdSubt Nuc Int,2: BkgdSubt WC Int,3/2: Mean Nuc Int,3: Nuc Area,3/3: Mean Nuc Int,2/3: Mean Nuc Int,3: Whole Cell Int,3: Background Int,3/3: BkgdSubt Nuc Int,3: BkgdSubt WC Int,3/2: BkgdSubt Nuc Int,2/3: BkgdSubt Nuc Int,3: Num Nuclei
1,1,28.6810917033214,4.55316265147328,74.4569212270111,521.39847715736,4.05968896908923,370.659009778054,308,213.39847715736,62.6590097780537,253.149746192893,31.745019806084,0,0,221.627192301723,175,-175,46.6271923017228,78.1497461928934,-175,1
2,1,24.2901145561062,7.58090025219918,72.7003711685747,608.67987804878,4.13546349029559,403.25957717374,308,300.67987804878,95.2595771737402,232.844512195122,36.6448699690908,0,0,215.690510252742,175,-175,40.690510252742,57.844512195122,-175,1
3,1,16.7476011274998,25.4815320977122,50.1425704181284,0,3.94679241555953,386.740493201198,308,-308,78.7404932011984,0,6.84130022759438,269.576013513513,424.319256756757,220.69578243835,175,94.5760135135135,45.6957824383499,-175,249.319256756757,1
4,1,40.7792046934139,9.58013156870902,113.736616283757,666.043425814234,3.90996125628523,398.381223328592,308,358.043425814234,90.3812233285918,255.260554885404,36.2288449552506,0,0,216.776976224345,175,-175,41.7769762243447,80.2605548854041,-175,1
5,1,25.9956488164064,6.94530648105443,70.3660085909158,626.720465890183,3.6903187133065,398.743307603876,308,318.720465890183,90.7433076038758,285.940099833611,30.6356197691768,0,0,236.540318607325,175,-175,61.5403186073247,110.940099833611,-175,1
6,1,20.5136620094335,4.42604389724434,56.3945018761158,595.986945169713,3.63151218851245,391.467008196721,308,287.986945169713,83.4670081967213,246.98955613577,26.7642758903861,0,0,210.507991803279,175,-175,35.5079918032787,71.9895561357702,-175,1
7,1,21.486058588025,6.56395021836758,58.0470456810922,956.272887323944,4.08795983233383,544.727254628708,308,648.272887323944,236.727254628708,254.802816901408,24.1294508027315,0,0,233.430220983476,175,-175,58.430220983476,79.8028169014084,-175,1
8,2,24.8306791490844,3.05085010149479,74.2373524697066,420.613636363636,3.88818103078195,396.713262764633,308,112.613636363636,88.7132627646326,270.30303030303,22.5809132512152,0,0,235.969178082192,175,-175,60.9691780821918,95.3030303030303,-175,2
9,1,28.2052558334728,6.72573772374988,80.2119339184672,671.731958762887,4.16335447952227,389.518945396917,308,363.731958762887,81.5189453969169,237.041237113402,35.211894921419,0,0,210.500216107189,175,-175,35.5002161071892,62.0412371134021,-175,1
10,1,12.0907301774585,19.3567193939537,36.9800012302399,0,4.03417343622252,372.7484375,308,-308,64.7484375,0,4.36826264532209,291.78835978836,416.044973544974,227.9309375,175,116.78835978836,52.9309375,-175,241.044973544974,1
11,1,12.4218648076969,5.30431892646253,36.3328512087107,500.411764705882,3.87745284006116,360.653944020356,308,192.411764705882,52.6539440203562,234.522875816993,16.5369943001479,0,0,212.131997455471,175,-175,37.1319974554707,59.5228758169935,-175,1
12,1,21.2027892924105,5.17720017223358,63.154908351019,521.866071428571,3.99046581562678,360.266605672461,308,213.866071428571,52.2666056724611,220.301339285714,30.8783010272503,0,0,204.471546203111,175,-175,29.4715462031107,45.3013392857143,-175,1
13,1,50.0190054903534,12.8736629282773,134.757435733071,688.154398563734,4.85573004447534,422.263699511191,308,380.154398563734,114.263699511191,285.278276481149,34.3914011441231,0,0,230.765886287625,175,-175,55.7658862876254,110.278276481149,-175,1
14,1,12.642516536936,16.8836818116814,35.9977199475616,0,3.76627946882432,378.307223113965,308,-308,70.3072231139647,0,6.33282521067858,296.217153284672,414.129562043796,242.222150882825,175,121.217153284672,67.222150882825,-175,239.129562043796,1
15,1,18.9429880231009,20.8590319439322,51.6333267177224,0,3.7874724900825,383.532900626679,308,-308,75.5329006266786,0,24.8806070777208,0,0,225.455237242614,175,-175,50.4552372426141,-175,-175,1
16,1,16.6111424334365,25.7473258565545,45.4160640108883,0,3.7772695213304,391.315521628499,308,-308,83.3155216284987,0,4.41448764685989,321.531413612565,428.484293193717,240.920610687023,175,146.531413612565,65.9206106870229,-175,253.484293193717,1
17,1,26.9542241378753,6.47150021529198,82.1880527342081,614.232142857143,4.01550747809291,378.872750281215,308,306.232142857143,70.8727502812148,226.483928571429,36.8644387263954,0,0,204.234673790776,175,-175,29.2346737907762,51.4839285714286,-175,1
18,1,16.2917576450111,28.8559572099716,47.2766203227848,0,3.87954456227565,388.217795160108,308,-308,80.2177951601075,0,5.54700018453598,326.18125,421.385416666667,246.685651429968,175,151.18125,71.6856514299682,-175,246.385416666667,1
19,1,17.5356833819122,23.089388268131,50.4777016792774,0,3.93405886316579,382.195970695971,308,-308,74.1959706959707,0,23.9561070469648,0,0,230.657051282051,175,-175,55.6570512820513,-175,-175,1
